token_address,chain,token_name,contract_name,verified,owner,creator,is_hidden_owner,is_proxy,is_sellable,is_hardcoded_owner,has_source_code,has_abi,total_snippets,honeypot_mechanics_number,minting_mechanics_number,ownership_manipulation_number,transfer_blocking_number,stealth_fee_mechanics_number,liquidity_manipulation_number,router_manipulation_number,balance_manipulation_number,anti_analysis_features_number,block_based_restrictions_number,emergency_functions_number
0xf59c6767dfb5aa9e908cb8d1831d02e53312e8ff,eth,EyzoAI,EyzoAI,True,0x0000000000000000000000000000000000000000,0x205e95094975a4a5b082af88e9864c38bf9d460a,False,False,True,False,True,True,8,0,2,0,0,6,0,0,0,0,0,0
0xf5d8a096cccb31b9d7bce5afe812be23e3d4690d,bsc,HappyFans,HappyFansToken,True,0x44318c0504ce0347a2caaed673232a1b5141fc5b,0x8c3aff26268b5406149d7972202654d5b09b9e24,False,False,True,False,True,True,1,0,1,0,0,0,0,0,0,0,0,0
0xf5f52266a57e6d7312da39bd7ab9527b9e975c40,eth,Agents Virtual Machine,Token,True,0x0000000000000000000000000000000000000000,0xcf2e98df46fd6785ad01bd40eff78db325466c0f,False,False,True,False,True,True,3,0,2,0,1,0,0,0,0,0,0,0
0xf606bd19b1e61574ed625d9ea96c841d4e247a32,bsc,Guardian,Guardian,True,0x2f2a2eb8a467792cfae5c2048c74274ac145c178,0x6233fcb52e6d9a401c1fb57a6e46805c6ebdbad7,False,False,True,False,True,True,0,0,0,0,0,0,0,0,0,0,0,0
0xf67366e83cc9b115ef8cca93baed1f03e6d3ca9a,eth,MindVerse,MindVerse,True,0x0000000000000000000000000000000000000000,0x045a1c761613415fd6c18467294263b76e578661,False,False,True,False,True,True,3,0,2,0,1,0,0,0,0,0,0,0
0xf6ce4be313ead51511215f1874c898239a331e37,eth,Bird Dog,BIRDDOG,True,0x0000000000000000000000000000000000000000,0xecfe50c2faf8c1ae4c6888143234a7122d2099c2,False,False,True,False,True,True,1,0,0,0,0,0,0,0,0,0,1,0
0xf75302720787c2a2176c87b1919059c4eaac8b98,eth,CFGI,CFGI,True,0x0000000000000000000000000000000000000000,0xbf4ad97f928adb9a2b757c67a6ca390ffd3cae77,False,False,True,False,True,True,0,0,0,0,0,0,0,0,0,0,0,0
0xf7554eac0bf20d702e69d08c425e817abb976aea,eth,Make America Healthy Again,MAHA,True,0x0000000000000000000000000000000000000000,0x3e68d2c815188e02df9628e21c32a64f3fcb0adc,False,False,True,False,True,True,2,0,2,0,0,0,0,0,0,0,0,0
0xf7686f43591302cd9b4b9c4fe1291473fae7d9c9,bsc,Chainport.io-Peg Lossless Token,BridgeMintableToken,True,,0xfe83475880d3592833249baaacfec5ed51e29d82,True,False,True,False,True,True,2,0,2,0,0,0,0,0,0,0,0,0
0xf7844cb890f4c339c497aeab599abdc3c874b67a,bsc,NFTArt.Finance,NFTF,True,0x0000000000000000000000000000000000000000,0x58b0cd936e5b064c64eb76bdc40620f281817234,False,False,True,False,True,True,2,0,1,0,0,0,0,0,1,0,0,0
