token_address,chain,token_name,total_holders,total_supply,total_circulating_supply,howmany_holders_exceeding_5_percent,total_top_10_balance,top10_percentage_of_total_supply,top10_percentage_of_circulating_supply,top_10_less_than_70_percent_of_total,top_10_less_than_70_percent_of_circulating
0x0e2114955023B736fa97D9E2FCDe2836d10b7A5C,bsc,Bridge$,200,100000000000000000000000000,95916197202402337775157248,3,42792072688443755306418176,42.79207268844375,44.61402134004951,True,True
0x0E2c0032Bbac753354D7ef32087f80C8c790F9A9,bsc,[name() not implemented],21,100000000000000000000000000,99999999999999998457614336,3,99826361927015196566487040,99.8263619270152,99.8263619270152,False,False
0x0e32273AcD551d96092C3b4cd65A174eCAA884e7,bsc,Titan Starvill,3,1000000000000000,1000000302825193,1,1000000605650386,100.00006056503861,100.00003028251012,False,False
0x0e85ADe9D6276C63D3fe76e5DC3446f15807da44,bsc,Baby Vegas,9,69000000000000000,68999999999999998,1,68999999999999996,99.99999999999999,100.0,False,False
0x0e9b196749949cd85AC922238655cC2071801916,bsc,Cindicator,2,1000000000000000,1000000000000002,1,1000000000000004,100.0000000000004,100.0000000000002,False,False
0x0E9cf923a7ef78A1eb757001aB654537e6187f82,bsc,SpaceCurrency,48,100000000000000000000,100000000000000000000,1,99999299657343084640,99.99929965734309,99.99929965734309,False,False
0x0Ecef127D502b14f0fBDd7Bd03e976aDd203a061,bsc,SAITAPRO BNB,14,12000000000000000000000000,12000000000000000093938112,6,11988734304575728188915712,99.90611920479773,99.90611920479773,False,False
0x0eF566c472cd309d3424FaB0bcEc568b9B805841,bsc,Rojus Token Finance,50,100000000000000000000000000,99985881442453742980037927,2,99776022131896460292766974,99.77602213189645,99.7901110561514,False,False
0x0F1269f9a43902431E2522b13Ec6E3adbBd2E9a5,bsc,Demifold,142,100000000000000000000,100000000000000000000,1,99999985624672685719,99.99998562467269,99.99998562467269,False,False
0x0f79Da55A9b2DE57B74C5b3Dcf0dAe9153CeAfAa,bsc,MoonShots,9,1000000000000000000000000000000000,999999999999999986535908887232512,6,999999999999999973071817774465024,100.0,100.0,False,False
0x0F7c44F13C525D57c4C57a0c9B0846798dE04d0a,bsc,FKA COIN,25,12000000000000000000000000,11999284956798880461012585,4,11996974601902369968619520,99.97478834918641,99.98074589523603,False,False
0x0f809A01f20010515340d47f471eDB8ED2B2B0f0,bsc,LEGO FINANCE,44,2000000000000000000000000,1999999999999999990469860,5,1788087868746990870331392,89.40439343734954,89.40439343734954,False,False
