token_address,chain,token_name,price_usd,liquidity_usd,market_cap_usd,liquidity_to_market_cap_ratio,token_volume,volume_usd,volume_to_liquidity_ratio,locked_liquidity_percent,locked_95_for_15_days,creator_under_5_percent,creator_percent_of_lp,owner_under_5_percent,owner_percent_of_lp,total_lp_supply,lp_holders_count,error
0xc08a505de5fD117293a4C9b0F02FB377e302451b,bsc,Perseverance,3.031970404241091e-08,1.3515796389209764e-20,9.095911212723272e+16,1.48592e-37,0.0,0.0,0.0,100.0,False,False,43.3319,False,43.3319,1e-15,1,Liquidity pool info could not be retrieved.
0xc0906A115Aa51d094EB6968Dd71CefCFDbF5d3a8,bsc,SatoshiSickiemoto,1.5709296620001744e-09,2.0756312080151003e-09,1570929662000174.5,1.3212757122252808e-24,0.0,0.0,0.0,0.0,False,False,40.3346,False,40.3346,0.000688920087412532,2,Liquidity pool info could not be retrieved.
0xc0946C4eD0A4fe6699229e07a502975f3D5dc41e,bsc,QuantumVortex Token,426.0027552886541,1.7040110211546165e-15,4.260027552886541e+22,4e-38,0.0,0.0,0.0,100.0,False,False,99.9997,True,0.0,1e-15,1,Liquidity pool info could not be retrieved.
0xc094dDe1F42805026D482CE6BD5Fc607C1fF4Bb8,bsc,GOMOONCAT(CEO),2.438724055269435e-16,0.00042849806795107454,243872405526943.53,1.7570584381008746e-18,710513316330.8739,0.0001732745916125364,0.40437659950504307,0.0,False,True,0.0,True,0.0,370283.62896416173,4,
0xC0B61f4C4ac8af1286D248c3628072a7dcB28813,bsc,MrsClausBNB,1.4160098484143284e-08,2.6138636009359585e-05,14159761862603.066,1.8459799156929026e-18,168351296890.75247,2383.8709439063,91201045.95559983,0.0,False,True,0.0002,True,0.0002,2.983667432598395,3,
0xc0F7445C83086f5702e0C79b89C98CC76CAf8336,bsc,BGP COIN,2.1401770779079248e-11,1.5607053375035807e-06,214017707790792.5,7.292412172871266e-21,0.0,0.0,0.0,0.0,False,False,52.1974,False,52.1974,4.571216733470848,2,Liquidity pool info could not be retrieved.
0xc0f8E5e2308764b25Fe6CB8EeC64672352183B15,bsc,Cat Finance,1.83911031603798e-10,2.6639335917120856e-08,167346668494714.4,1.5918653270329223e-22,0.0,0.0,0.0,0.0,False,False,78.3295,False,78.3295,0.026312687607614866,2,Liquidity pool info could not be retrieved.
0xc106364Da4507DF5361179476CFCb6beD54971D1,bsc,Bornaka ,2.6449085023050456e-12,1.1284442608116298e-06,29093993525355.504,3.878615906847533e-20,0.0,0.0,0.0,0.0,False,False,39.3163,False,39.3163,9.392450180064479,2,Liquidity pool info could not be retrieved.
0xc128408C3902fD45a4466e5E4Ed3a6726A9C8F63,bsc,ByteBurst,8.380757470354094e-07,6.734273857728329e-20,8.380757470354094e+20,8.0354e-41,0.0,0.0,0.0,100.0,False,False,99.9124,True,0.0,1e-15,1,Liquidity pool info could not be retrieved.
0xC12FB3704Ee2838d9631e8374dE918C4344944b7,bsc,Dogemoon,4.600611275472017e-18,2.240324347504646e-08,3411836681986924.0,6.566329388896676e-24,0.0,0.0,0.0,0.0,False,False,30.5029,False,30.5029,139.4262184655074,2,Liquidity pool info could not be retrieved.
